id	filename	name	category
101	pearl-harbor-national-memorial	Pearl Harbor National Memorial	cultural
102	bishop-museum	Bishop Museum	cultural
103	iolani-palace	Iolani Palace	cultural
104	byodo-in-temple	Byodo-In Temple	cultural
105	honolulu-fire-department-museum	Honolulu Fire Department Museum	cultural
106	pacific-aviation-museum	Pacific Aviation Museum	cultural
107	hawaiian-railway-society	Hawaiian Railway Society	cultural
108	21-degrees-estate-cacao-farm	21 Degrees Estate Cacao Farm	cultural
109	manoa-chocolate-factory	Manoa Chocolate Factory	cultural
110	hawaii-s-plantation-village	Hawaii's Plantation Village	cultural
120	hawaii-children-s-discovery-center	Hawaii Children's Discovery Center	family
121	honolulu-zoo	Honolulu Zoo	family
122	waikiki-aquarium	Waikiki Aquarium	family
123	sea-life-park	Sea Life Park	family
124	kids-city-adventure	Kids City Adventure	family
125	tropics-mini-golf	Tropics Mini Golf	family
126	dole-plantation	Dole Plantation	family
127	kahuku-farms	Kahuku Farms	family
128	green-world-coffee-farm	Green World Coffee Farm	family
140	halona-blowhole-lookout	Halona Blowhole Lookout	nature
141	lanai-lookout	Lanai Lookout	nature
142	makapuu-lookout	Makapuu Lookout	nature
143	laniakea-beach-turtle-beach	Laniakea Beach (Turtle Beach)	nature
144	kakaako-waterfront-park-wall-art	Kakaako Waterfront Park & Wall Art	nature
145	tantalus-round-top-loop-drive	Tantalus Round Top Loop Drive	nature
146	portlock-tide-pools-china-walls	Portlock Tide Pools / China Walls	nature
160	kcc-farmers-market	KCC Farmers Market	local
161	free-hula-show-at-kuhio-beach	Free Hula Show at Kuhio Beach	local
162	friday-night-fireworks	Friday Night Fireworks	local
163	swap-meet-at-aloha-stadium	Swap Meet at Aloha Stadium	local
164	shave-ice-crawl	Shave Ice Crawl	local
165	chinatown-exploration	Chinatown Exploration	local
166	shore-fishing	Shore Fishing	local
167	beach-cleanup-volunteering	Beach Cleanup Volunteering	local
168	people-s-open-market	People's Open Market	local
169	kaimuki-third-fridays	Kaimuki Third Fridays	local
180	honolulu-beerworks	Honolulu Beerworks	breweries
181	the-brewseum	The Brewseum	breweries
182	lanikai-brewing	Lanikai Brewing	breweries
183	beer-lab-hi	Beer Lab HI	breweries
184	aloha-beer-company	Aloha Beer Company	breweries
200	foodland-farms-aina-haina	Foodland Farms Aina Haina	groceries
201	costco-hawaii-kai	Costco Hawaii Kai	groceries
202	whole-foods-kahala	Whole Foods Kahala	groceries
203	don-quijote	Don Quijote	groceries
204	h-mart-kakaako	H Mart Kakaako	groceries
220	tamashiro-market	Tamashiro Market	foodsources
221	pier-38-fish-market	Pier 38 Fish Market	foodsources
222	ono-seafood-kealahou	Ono Seafood Kealahou	foodsources
223	maguro-brothers-hawaii	Maguro Brothers Hawaii	foodsources
224	kalihi-super-meats	Kalihi Super Meats	foodsources
225	forage-hawaii	Forage Hawaii	foodsources
226	local-i-a-community-supported-fishery	Local I'a (Community Supported Fishery)	foodsources
300	honolulu-festival-grand-parade-fireworks	Honolulu Festival - Grand Parade & Fireworks	events
301	honolulu-rainbow-ekiden-kids-race	Honolulu Rainbow EKIDEN & Kids' Race	events
302	sea-life-park-whale-festival	Sea Life Park Whale Festival	events
303	st-patrick-s-day-parade-59th-annual	St. Patrick's Day Parade (59th Annual)	events
304	waikiki-aquarium-122nd-birthday-celebration	Waikiki Aquarium 122nd Birthday Celebration	events
305	third-friday-kaimuki-march	Third Friday Kaimuki (March)	events
306	hfd-museum-march-3rd-saturday	HFD Museum (March - 3rd Saturday)	events
307	koko-marina-craft-gift-fair	Koko Marina Craft & Gift Fair	events
308	prince-kuhio-day-parade-ho-olaule-a	Prince Kuhio Day Parade & Ho'olaule'a	events
309	eat-the-street-food-truck-rally	Eat the Street Food Truck Rally	events
310	foodiecon-spring-expo	FoodieCon & Spring Expo	events
311	pearl-city-easter-egg-hunt	Pearl City Easter Egg Hunt	events
312	noaa-sanctuary-ocean-count-whale-watch	NOAA Sanctuary Ocean Count (Whale Watch)	events
313	keiki-street-festival	Keiki Street Festival	events
314	first-friday-chinatown-art-walk-april	First Friday Chinatown Art Walk (April)	events
315	ewa-complex-easter-bash	Ewa Complex Easter Bash	events
316	easter-sunrise-service-at-punchbowl	Easter Sunrise Service at Punchbowl	events
317	heart-of-honolulu-art-street-festival	HEART of Honolulu Art Street Festival	events
318	easter-egg-hunts-galore-april-12	Easter Egg Hunts Galore (April 12)	events
319	hapalua-hawaii-s-half-marathon	Hapalua - Hawaii's Half Marathon	events
320	sea-life-park-springtime-celebration-egg-hunt	Sea Life Park Springtime Celebration & Egg Hunt	events
321	third-friday-kaimuki-april	Third Friday Kaimuki (April)	events
322	panji-and-the-lost-princess-shadow-puppetry	Panji and the Lost Princess - Shadow Puppetry	events
323	keiki-rainbow-run	Keiki Rainbow Run	events
324	hfd-museum-april-3rd-saturday	HFD Museum (April - 3rd Saturday)	events
325	easter-festival-in-hawaii-kai	Easter Festival in Hawaii Kai	events
326	honolulu-museum-of-art-free-family-sunday	Honolulu Museum of Art - Free Family Sunday	events
327	uh-rainbow-warriors-baseball	UH Rainbow Warriors Baseball	events
340	toa-luau-best-for-families	Toa Luau (Best for Families)	luaus
341	experience-nutridge-most-intimate	Experience Nutridge (Most Intimate)	luaus
342	ka-wa-a-at-disney-aulani-best-production	KA WA'A at Disney Aulani (Best Production)	luaus
343	chief-s-luau-most-interactive	Chief's Luau (Most Interactive)	luaus
344	aloha-kai-luau-at-sea-life-park-closest	Aloha Kai Luau at Sea Life Park (Closest)	luaus
360	kilohana-hula-show	Kilohana Hula Show	events
361	royal-hawaiian-center-free-classes	Royal Hawaiian Center Free Classes	events
362	kuhio-beach-hula-show	Kuhio Beach Hula Show	events
363	aina-haina-library-story-time	Aina Haina Library Story Time	events
364	hilton-friday-night-fireworks	Hilton Friday Night Fireworks	events
365	kcc-saturday-farmers-market	KCC Saturday Farmers Market	events
366	royal-hawaiian-band-at-iolani-palace	Royal Hawaiian Band at Iolani Palace	events
367	ala-moana-center-hula-shows	Ala Moana Center Hula Shows	events
380	bishop-museum-aloha-bricks-26-lego-exhibition	Bishop Museum: Aloha Bricks '26 - LEGO Exhibition	events
381	west-side-story-at-diamond-head-theatre	West Side Story at Diamond Head Theatre	events
